"Location","String Value","String Representation","Data Type"
"00a87d4e","C:/Monolithsoft/BF2/prog/application/BF2/gf/data/gf_game_flag.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/data/gf_game_flag.cpp\"","ds"
"00a883b7","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_bgm.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_bgm.cpp\"","ds"
"00a8843a","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_collect.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_collect.cpp\"","ds"
"00a884e9","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_dmg.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_dmg.cpp\"","ds"
"00a88550","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_gimmick.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_gimmick.cpp\"","ds"
"00a885c1","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_locator.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_locator.cpp\"","ds"
"00a887d0","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_lod.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_lod.cpp\"","ds"
"00a8881f","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_manager.cpp\"","ds"
"00a88866","C:/Monolithsoft/BF2/prog/application/BF2\gf/field/gf_field_map_gimmick.h","\"C:/Monolithsoft/BF2/prog/application/BF2\\gf/field/gf_field_map_gimmick.h\"","ds"
"00a888bf","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_mapse.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_mapse.cpp\"","ds"
"00a88a17","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_map_gimmick.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_map_gimmick.cpp\"","ds"
"00a88a7f","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_sound.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_sound.cpp\"","ds"
"00a88bb2","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_tbox.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_tbox.cpp\"","ds"
"00a88c38","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_time.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_time.cpp\"","ds"
"00a88c84","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_weather.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_weather.cpp\"","ds"
"00a88ccb","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_weather_obj.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_weather_obj.cpp\"","ds"
"00a88d16","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_zone.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_zone.cpp\"","ds"
"00a88d5a","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_zone_script.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_zone_script.cpp\"","ds"
"00a88dac","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_zone_se.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_field_zone_se.cpp\"","ds"
"00a89057","C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_fobj_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/field/gf_fobj_manager.cpp\"","ds"
"00a8909d","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/achiev/gf_achiev_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/achiev/gf_achiev_manager.cpp\"","ds"
"00a891ee","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/arena/gf_game_arena.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/arena/gf_game_arena.cpp\"","ds"
"00a8935c","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/auto_talk/gf_auto_talk.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/auto_talk/gf_auto_talk.cpp\"","ds"
"00a893bd","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/blade/gf_blade_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/blade/gf_blade_manager.cpp\"","ds"
"00a89440","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/event/gf_evt_bgm.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/event/gf_evt_bgm.cpp\"","ds"
"00a894a9","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/event/gf_evt_model.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/event/gf_evt_model.cpp\"","ds"
"00a89591","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/event/gf_game_event.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/event/gf_game_event.cpp\"","ds"
"00a89624","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_arts_movie.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_arts_movie.cpp\"","ds"
"00a8966c","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_camera.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_camera.cpp\"","ds"
"00a896b0","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_chain_attack.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_chain_attack.cpp\"","ds"
"00a896fa","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_cond.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_cond.cpp\"","ds"
"00a8973c","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_dead_camera.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_dead_camera.cpp\"","ds"
"00a89785","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_env.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_env.cpp\"","ds"
"00a897dd","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_inside_battle_lock.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_inside_battle_lock.cpp\"","ds"
"00a8982d","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_manager.cpp\"","ds"
"00a89872","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_mount.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_mount.cpp\"","ds"
"00a898b5","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_mover_switcher.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_mover_switcher.cpp\"","ds"
"00a89901","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_obj.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_obj.cpp\"","ds"
"00a899da","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_pad.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_pad.cpp\"","ds"
"00a89a5c","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_party.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_party.cpp\"","ds"
"00a89a9f","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_player_camera.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_player_camera.cpp\"","ds"
"00a89aea","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_player_formation.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_player_formation.cpp\"","ds"
"00a89b38","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_player_unique_scheduler.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_player_unique_scheduler.cpp\"","ds"
"00a89b8d","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_ride.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_ride.cpp\"","ds"
"00a89c06","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_scene.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_scene.cpp\"","ds"
"00a89d07","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_search_obj.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_search_obj.cpp\"","ds"
"00a89d4f","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_slow_attack.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_slow_attack.cpp\"","ds"
"00a89d98","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_state.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_state.cpp\"","ds"
"00a89f47","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_stuck_meter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_stuck_meter.cpp\"","ds"
"00a89fa4","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_target.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_target.cpp\"","ds"
"00a8a0f3","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_trinity_attack.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_trinity_attack.cpp\"","ds"
"00a8a2f2","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_visible.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_visible.cpp\"","ds"
"00a8a337","C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\mm_mtl/map.h","\"C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\\mm_mtl/map.h\"","ds"
"00a8a3a0","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_voice.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/gf_game_voice.cpp\"","ds"
"00a8a40d","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/item/gf_item_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/item/gf_item_manager.cpp\"","ds"
"00a8a457","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/kizunaring/gf_kizunaring_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/kizunaring/gf_kizunaring_manager.cpp\"","ds"
"00a8a4ad","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/mercenaries/gf_game_mercenaries.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/mercenaries/gf_game_mercenaries.cpp\"","ds"
"00a8a52f","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/quest/gf_quest_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/quest/gf_quest_manager.cpp\"","ds"
"00a8a649","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/salvage/gf_game_salvage.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/salvage/gf_game_salvage.cpp\"","ds"
"00a8aa10","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/sequential_play/gf_play_command.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/sequential_play/gf_play_command.cpp\"","ds"
"00a8b2cb","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/sequential_play/gf_sequential_play.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/sequential_play/gf_sequential_play.cpp\"","ds"
"00a8b367","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/smn_enemy/gf_smn_enemy.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/smn_enemy/gf_smn_enemy.cpp\"","ds"
"00a8b3b3","C:/Monolithsoft/BF2/prog/application/BF2/gf/game/talk/gf_game_talk.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/game/talk/gf_game_talk.cpp\"","ds"
"00a8b3fa","C:/Monolithsoft/BF2/prog/application/BF2/gf/gf_event.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/gf_event.cpp\"","ds"
"00a8b433","C:/Monolithsoft/BF2/prog/application/BF2/gf/gf_info.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/gf_info.cpp\"","ds"
"00a8b46b","C:/Monolithsoft/BF2/prog/application/BF2/gf/gf_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/gf_manager.cpp\"","ds"
"00a8b4a6","C:/Monolithsoft/BF2/prog/application/BF2/gf/gf_pause.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/gf_pause.cpp\"","ds"
"00a8b55c","C:/Monolithsoft/BF2/prog/application/BF2/gf/map/gf_map_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/map/gf_map_manager.cpp\"","ds"
"00a8b5fc","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_achievement_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_achievement_adapter.cpp\"","ds"
"00a8b661","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_adapter_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_adapter_manager.cpp\"","ds"
"00a8b6b6","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_arts_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_arts_adapter.cpp\"","ds"
"00a8b708","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_battle_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_battle_adapter.cpp\"","ds"
"00a8b76f","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_btlch_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_btlch_adapter.cpp\"","ds"
"00a8b7c2","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_char_data_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_char_data_adapter.cpp\"","ds"
"00a8b81f","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_diff_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_diff_adapter.cpp\"","ds"
"00a8b884","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_element_combo_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_element_combo_adapter.cpp\"","ds"
"00a8b8eb","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_enhance_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_enhance_adapter.cpp\"","ds"
"00a8b940","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_ev_theater_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_ev_theater_adapter.cpp\"","ds"
"00a8b998","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_exc_task_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_exc_task_adapter.cpp\"","ds"
"00a8b9ee","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_field_pos_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_field_pos_adapter.cpp\"","ds"
"00a8ba45","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_field_skill_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_field_skill_adapter.cpp\"","ds"
"00a8ba9e","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_game_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_game_adapter.cpp\"","ds"
"00a8bafc","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_gfobj_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_gfobj_adapter.cpp\"","ds"
"00a8bb4f","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_hana_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_hana_adapter.cpp\"","ds"
"00a8bbce","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_hana_parts_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_hana_parts_adapter.cpp\"","ds"
"00a8bc26","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_item_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_item_adapter.cpp\"","ds"
"00a8bc8f","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_mercenaries_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_mercenaries_adapter.cpp\"","ds"
"00a8bd07","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_mission_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_mission_adapter.cpp\"","ds"
"00a8bd77","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_pos_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_pos_adapter.cpp\"","ds"
"00a8bdc8","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_pouch_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_pouch_adapter.cpp\"","ds"
"00a8be1b","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_quest_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_quest_adapter.cpp\"","ds"
"00a8be83","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_reference_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_reference_adapter.cpp\"","ds"
"00a8beda","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_shop_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_shop_adapter.cpp\"","ds"
"00a8bf34","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_skill_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_skill_adapter.cpp\"","ds"
"00a8bf87","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_weapon_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_weapon_adapter.cpp\"","ds"
"00a8bfdb","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_weapon_type_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_weapon_type_adapter.cpp\"","ds"
"00a8c034","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_world_map_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_world_map_adapter.cpp\"","ds"
"00a8c08b","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_zone_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_zone_adapter.cpp\"","ds"
"00a8c0e2","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_zone_map_adapter.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/adapter/gf_menu_zone_map_adapter.cpp\"","ds"
"00a8c142","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/call/gf_menu_call_context.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/call/gf_menu_call_context.cpp\"","ds"
"00a8c191","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/call/gf_menu_call_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/call/gf_menu_call_manager.cpp\"","ds"
"00a8c25b","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_equip.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_equip.cpp\"","ds"
"00a8c29e","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_fade.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_fade.cpp\"","ds"
"00a8c2e0","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_field_skill.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_field_skill.cpp\"","ds"
"00a8c398","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_fullscreen.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_fullscreen.cpp\"","ds"
"00a8c3e0","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_hud.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_hud.cpp\"","ds"
"00a8c431","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_kizunaring.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_kizunaring.cpp\"","ds"
"00a8c479","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_location.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_location.cpp\"","ds"
"00a8c4bf","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_main.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_main.cpp\"","ds"
"00a8c55e","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_manager.cpp\"","ds"
"00a8ce4e","C:/Monolithsoft/BF2/prog/application/BF2\ui/tag/ui_tag_parser.h","\"C:/Monolithsoft/BF2/prog/application/BF2\\ui/tag/ui_tag_parser.h\"","ds"
"00a8ce8e","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_many_objects.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_many_objects.cpp\"","ds"
"00a8ced8","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_map_info.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_map_info.cpp\"","ds"
"00a8cfed","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_minimap.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_minimap.cpp\"","ds"
"00a8d040","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_order_mgr.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_order_mgr.cpp\"","ds"
"00a8d087","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_precious.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_precious.cpp\"","ds"
"00a8d0cd","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_quest.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_quest.cpp\"","ds"
"00a8d110","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_reference.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_reference.cpp\"","ds"
"00a8d157","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_script_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_script_manager.cpp\"","ds"
"00a8d1b9","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_shop.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_shop.cpp\"","ds"
"00a8d1fb","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_sound_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_sound_manager.cpp\"","ds"
"00a8d246","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_status.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/gf_menu_status.cpp\"","ds"
"00a8d28a","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_arts_list.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_arts_list.cpp\"","ds"
"00a8d2d6","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_blade_list.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_blade_list.cpp\"","ds"
"00a8d323","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_driver_list.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_driver_list.cpp\"","ds"
"00a8d371","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_enemy_list.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_enemy_list.cpp\"","ds"
"00a8d3be","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_field_skill_list.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_field_skill_list.cpp\"","ds"
"00a8d411","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_id_list.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_id_list.cpp\"","ds"
"00a8d48c","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_item_list.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_item_list.cpp\"","ds"
"00a8d501","C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_msg_list.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/gf/menu/list/gf_menu_msg_list.cpp\"","ds"
